req_id,req_text
CS3007,"Upon receipt of a Enable cFE code segment command, CS shall enable checksumming of the cFE Code segment"
CS3008,"Upon receipt of a Disable cFE code segment command, CS shall Disable checksumming of the cFE Code segment"
CS3009,"Upon receipt of a Recompute cFE Code Segment CRC command, CS shall:
a) Recompute the baseline CRC for the cFE Code Segment
b) Set the Recompute In Progress Flag to TRUE"
CS3009.1,"Once the baseline CRC is computed, CS shall:

a) Generate an event message containing the baseline CRC
b) Set the Recompute In Progress Flag to FALSE"
CS3009.2,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS3010,"Upon receipt of a Report cFE code segment CRC command, CS shall send an event message containing the baseline cFE code segment CRC."
CS4000,"Checksum shall calculate CRCs for each Table-Defined Application or Library's code segment and compare them against the corresponding Application's baseline code segment CRC if:
a) Checksumming (as a whole) is Enabled
b) App code segment checksumming is Enabled"
CS4000.1,"If the Application or Library's code segment CRC is not equal to the corresponding Application or Library's baseline code segment CRC, CS shall increment the Application Code Segment CRC Miscompare Counter and send an event message."
CS4000.2,"If the table-defined Application or Library code segment is invalid, CS shall send an event message and skip that Application or Library code segment."
CS4001,"Upon receipt of a Enable Application checksumming command, CS shall enable checksumming of all Application and Library Code segments."
CS4002,"Upon receipt of a Disable Application checksumming command, CS shall Disable checksumming of all Application and Library Code segments."
CS4003,"Upon receipt of a Enable Application code segment command, CS shall enable checksumming of the command-specified Application or Library."
CS4004,"Upon receipt of a Disable Application code segment command, CS shall Disable checksumming of the command-specified Application or Library."
CS4005,"Upon receipt of a Recompute Application Code Segment CRC command, CS shall: 
a) Recompute the baseline CRC for the Application or Library 
b) Set the Recompute In Progress Flag to TRUE"
CS4005.1,"Once the baseline CRC is computed, CS shall: 
a) Generate an event message containing the baseline CRC 
b) Set the Recompute In Progress Flag to FALSE"
CS4005.2,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS4006,"Upon receipt of a Report Application code segment CRC command, CS shall send an event message containing the baseline Application or Library code segment CRC"
CS4007,"If the command-specified Application or Library is invalid (for any Application Code Segment command where the Application/Library is a command argument, CS shall reject the command and send an event message"
CS4008,CS shall provide the ability to dump the baseline CRCs and status for the Application or Library code segment memory segments via a dump-only table
CS5000,"Checksum shall calculate CRCs for each Table-Defined Table and compare them against the corresponding Table's baseline CRC if:

a) Checksumming (as a whole) is Enabled
b) Table checksumming is Enabled
c) Checksumming of the Individual Table is Enabled"
CS5000.1,"If the Table's CRC is not equal to the corresponding Table's baseline CRC and the table has not been modified (thru a table load), CS shall increment the Table CRC Miscompare Counter and send an event message."
CS5000.2,"If the Table's CRC is not equal to the corresponding Table's baseline CRC and the table has been modified (thru a table load), CS shall recompute the table baseline CRC."
CS5000.3,"If the table-defined Table is invalid, CS shall send an event message and skip that Table."
CS5001,"Upon receipt of a Enable Table Checksumming command, CS shall enable checksumming of all Tables."
CS5002,"Upon receipt of a Disable Table Checksumming command, CS shall Disable checksumming of all Tables."
CS5003,"Upon receipt of a Enable Table Name command, CS shall enable checksumming of the command-specified Table."
CS5004,"Upon receipt of a Disable Table Name command, CS shall Disable checksumming of the command-specified Table."
CS5005,"Upon receipt of a Recompute Table CRC Command, CS shall:
a) Recompute the baseline CRC for the command-specified table
b) Set the Recompute In Progress Flag to TRUE"
CS5005.1,"Once the baseline CRC is computed, CS shall:
a) Generate an event message containing the baseline CRC
b) Set the Recompute In Progress Flag to FALSE"
CS5005.2,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS5006,"Upon receipt of a Report Table CRC command, CS shall send an event message containing the baseline Table CRC for the command-specified table."
CS5007,"If the command-specified Table in invalid (for any CS Table command where a table name is a command argument ), CS shall reject the command and send an event message"
CS5008,CS shall provide the ability to dump the baseline CRCs and status for the tables via a dump-only table.
CS6000,"Checksum shall calculate CRCs for each Table-Defined User-Defined Memory and compare them against the corresponding baseline CRC if
a) Checksumming (as a whole) is Enabled
b) User-Defined Memory checksumming is Enabled
c) Checksumming of the Individual Memory segments is Enabled"
CS6000.1,"If the User-Defined Memory's CRC is not equal to the corresponding baseline CRC, CS shall increment the User-Defined Memory CRC Miscompare Counter and send an event message."
CS6000.2,"If the table-defined Memory is invalid, CS shall send an event message."
CS6001,"Upon receipt of a Enable User-Defined Memory Checksumming command, CS shall enable checksumming of all User-Defined Memory."
CS6002,"Upon receipt of a Disable User-Defined Memory Checksumming command, CS shall disable checksumming of all User-Defined Memory."
CS6003,"Upon receipt of a Enable User-Defined Memory Item command, CS shall enable checksumming of the command-specified Memory."
CS6004,"Upon receipt of a Disable User-Defined Memory Item command, CS shall Disable checksumming of the command-specified Memory."
CS6005,"Upon receipt of a Recompute User-Defined Memory CRC command, CS shall:
a) Recompute the baseline CRC for the command-specified User-Defined Memory.
b) Set the Recompute In Progress Flag to TRUE"
CS6005.1,"Once the baseline CRC is computed, CS shall:

a) Generate an event message containing the baseline CRC
b) Set the Recompute In Progress Flag to FALSE"
CS6005.2,"If CS is already processing a Recompute CRC command or a One Shot CRC command, CS shall reject the command."
CS6006,"Upon receipt of a Report User-Defined Memory CRC command, CS shall send an event message containing the baseline CRC for the command-specified User-Defined Memory."
CS6007,"If the command-specified User-Defined Memory is invalid (for any of the User-Defined memory commands where the memory ID is a command argument), CS shall reject the command and send an event message"
CS6008,CS shall provide the ability to dump the baseline CRCs and status for all the User-Defined Memory via a dump-only table.
CS6009,"Upon receipt of a Get User-Defined Memory Entry ID command, CS shall send an informational event message containing the User-Defined Memory Table Entry ID for the command-specified Memory Address."
CS6009.1,"If the command-specified Memory Address cannot be found within the User-Defined Memory Table, CS shall send an informational event message."
CS7000,The CS software shall limit the amount of bytes processed during each of its execution cycles to a maximum of <PLATFORM_DEFINED> bytes
CS8000,"Upon receipt of a Enable Checksum command, CS shall start calculating CRCs and compare them against the baseline CRCs."
CS8001,"Upon receipt of a Disable Checksum command, CS shall stop calculating CRCs and comparing them against the baseline CRCs."
CS8002,"Upon receipt of a One Shot command, CS shall:
a) Calculate the CRC starting at the command-specified address for the command-specified bytes at the command-specified rate (Max Bytes Per Cycle).
b) Set the One Shot In Progress Flag to TRUE"
CS8002.1,"Once the CRC is computed CS shall:

a) Issue an event message containing the CRC

b) Set the One Shot In Progress Flag to FALSE"
CS8002.2,"If CS is already processing a One Shot CRC command or a Recompute CRC command, CS shall reject the command."
CS8002.3,"If the command-specified rate is zero, CS shall calculate the CRC at the <PLATFORM_DEFINED> rate (Max Bytes Per Cycle)."
CS8003,"Upon receipt of a Cancel One Shot command, CS shall stop the current One Shot calculation."
CS9000,"CS shall generate a housekeeping message containing the following:

a) Valid Ground Command Counter
b) Ground Command Rejected Counter
c) Overall CRC enable/disable status
d) Total Non-volatile Baseline CRC
e) OS code segment Baseline CRC
f) cFE code segment Baseline CRC
g) Non-volatile CRC Miscompare Counter
h) OS Code Segment CRC Miscompare Counter
i) cFE Code Segment CRC Miscompare Counter
j) Application CRC Miscompare Counter
k) Table CRC Miscompare Counter
l) User-Defined Memory CRC Miscompare Counter
m) Last One Shot Address
n) Last One Shot Size
o) Last One Shot Checksum
p) Checksum Pass Counter (number of passes thru all of the checksum areas)
q) Current Checksum Region (Non-volatile, OS code segment, cFE code segment etc)
r) Non-volatile CRC enable/disable status
s) OS Code Segment CRC enable/disable status
t) cFE Code Segment CRC enable/disable status
u) Application CRC enable/disable status
v) Table CRC enable/disable status
w) User-Defined Memory CRC enable/disable status
x) Last One Shot Rate
y) Recompute In Progress Flag
z) One Shot In Progress Flag"
CS9001,"Upon any Initialization of the CS Application (cFE Power On, cFE Processor Reset or CS Application Reset), CS shall initialize the following data to Zero:

a) Valid Ground Command Counter
b) Ground Command Rejected Counter
c) Non-volatile CRC Miscompare Counter
d) OS Code Segment CRC Miscompare Counter
e) cFE Code Segment CRC Miscompare Counter
f) Application CRC Miscompare Counter
g) Table CRC Miscompare Counter
h) User-Defined Memory CRC Miscompare Counter
i) Recompute In Progress Flag
j) One Shot In Progress Flag"
CS9002,"Upon a cFE Power On Reset, if the segment's <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute baseline CRCs for the following regions:
a) OS code segment
b) cFE code segment"
CS9003,"Upon a cFE Power On Reset, if the Non-Volatile <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute baseline CRCs for Non-volatile segments based on the corresponding table definition for up to <PLATFORM_DEFINED> segments."
CS9003.1,"If the address range for any of the Non-volatile segments is Invalid, CS shall send an event message and disable Non-volatile Checksumming"
CS9003.2,"CS shall send an event message and disable Non-volatile Checksumming, if the state is not one of the following:

a) enabled
b) disabled
c) empty"
CS9004,"Upon a cFE Power On Reset, if the Non-Volatile <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute the baseline CRC for the total of all of non-volatile segments."
CS9005,"Upon a cFE Power On Reset, if the Application <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute baseline CRCs for the Application or Library code segments region based on the corresponding table definition for up to a <PLATFORM_DEFINED> Applications and Libraries"",Need to compute baselines for the Applications and Libraries specified in the table. The platform-defined value could be equal to the max number of apps defined by cFE ES but could be less"
CS9005.1,"CS shall send an event message and disable Application code segment Checksumming, if the state is not one of the following: 
a)enabled 
b)disabled 
c) empty"
CS9006,"Upon a cFE Power On Reset, if the Tables <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute baseline CRCs for the tables specified in the corresponding table definition for up to <PLATFORM_DEFINED> tables"
CS9006.1,"CS shall send an event message and disable Table Checksumming, if the state is not one of the following:

a) enabled
b) disabled
c) empty"
CS9007,"Upon a cFE Power On Reset, if the User-Defined Memory <PLATFORM_DEFINED> Power-On Initialization state is set to Enabled, CS shall compute baseline CRCs for the User-Defined memory region based on the corresponding table definition for up to <PLATFORM_DEFINED> memory segments."
CS9007.1,"If the address range for any of the User-Defined Memory is Invalid, CS shall send an event message and disable User-Defined Memory Checksumming"
CS9007.2,"CS shall send an event message and disable Checksumming of the User-Defined Memory, if the state is not one of the following:

a) enabled
b) disabled
c) empty"
CS9008,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True, CS shall preserve the following:

a) OS Code Segment Checksumming State
b) cFE Code Segment Checksumming State
c) Non-volatile Checksumming State
d) Application Code Segment Checksumming State
e) Table Checksumming State
f) User-Defined Memory Checksumming State"
CS9009,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to False, CS shall perform initialization in accordance with a Power On reset."
CS9010,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the segment's state is set to Enabled, CS shall compute baseline CRCs for the following regions:

a) OS code segment
b) cFE code segment"
CS9011,"Upon a Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the Non-volatile Checksumming State is Enabled, CS shall compute baseline CRCs for Non-volatile segments based on the corresponding table definition for up to <PLATFORM_DEFINED> segments."
CS9011.1,"If the address range for any of the Non-volatile segments is Invalid, CS shall send an event message and disable Non-volatile
Checksumming"
CS9011.2,"CS shall send an event message and disable Non-volatile Checksumming, if the state is not one of the following:

a) enabled
b) disabled
c) empty"
CS9012,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the Non-volatile Checksumming State is Enabled, CS shall compute the baseline CRC for the total of all of non-volatile segments"
CS9013,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the Application Code Segment Checksumming State is Enabled, CS shall compute baseline CRCs for the Application code segments region based on the corresponding table definition for up to <PLATFORM_DEFINED> Applications"
CS9013.1,"CS shall send an event message and disable Application code segment Checksumming, if the state is not one of the
following:
a) enabled
b) disabled
c) empty"
CS9014,"Upon a a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the Table Checksumming State is Enabled, CS shall compute baseline CRCs for the tables specified in the corresponding table definition for up to <PLATFORM_DEFINED> tables"
CS9014.1,"CS shall send an event message and disable Table Checksumming, if the state is not one of the following:

a) enabled
b) disabled
c) empty"
CS9015,"Upon a cFE Processor Reset or CS Application Reset, if the <PLATFORM_DEFINED> PRESERVE_STATES_ON_PROCESSOR_RESET Flag is set to True and the User-Defined Memory Checksumming State is Enabled, CS shall compute baseline CRCs for the User-Defined memory region based on the corresponding table definition for up to <PLATFORM_DEFINED> memory segments."
CS9015.1,"If the address range for any of the User-Defined Memory is Invalid, CS shall send an event message and disable User-Defined Memory Checksumming"
CS9015.2,"CS shall send an event message and disable Checksumming of the User-Defined Memory, if the state is not one of
the following:
a) enabled
b) disabled
c) empty"
